station_ID,num of measurements 1961-2000,lat,lon
86492,120,-1.5,-77.93333
86493,120,-1.1,-79.45
86494,120,-1.03333,-80.45
86495,120,-1.01667,-78.58333
86496,120,-0.91667,-75.41667
86497,120,-0.9,-89.6
86498,120,-0.43333,-79.58333
86499,120,-0.36667,-78.55
86500,120,-0.13333,-78.48333
86501,120,0.01667,-79.36667
86502,120,0.8,-77.7
86503,120,57.85,-27.01667
86504,120,59.38333,24.58333
86505,120,62.01667,-6.76667
86506,105,-20.66667,-178.71667
86507,120,-19.05,178.16667
86508,120,-18.03333,178.55
86509,120,-17.75,177.43333
86510,102,-16.13333,-179.98333
86511,118,-12.5,177.05
86512,120,60.33333,24.96667
86513,120,60.51667,22.28333
86514,120,60.81667,23.5
86515,120,62.4,25.68333
86516,120,64.28333,27.68333
86517,120,67.36667,26.63333
86518,120,41.91667,84.8
86519,120,42.73333,25.41667
86520,120,43.43333,51.6
86521,120,43.61667,12.45
86522,120,43.65,71.33333
86523,120,43.85,42.73333
86524,120,44.81667,-4.25
86525,120,45.71667,45.61667
86526,120,47.06667,22.33333
86527,120,47.15,-13.65
86528,120,47.26667,50.91667
86529,120,48.06667,-14.6
86530,120,48.43333,-42.76667
86531,120,48.53333,73.83333
86532,120,48.68333,61.53333
86533,120,48.96667,22.91667
86534,120,50.56667,30.91667
86535,43,3.13333,-54.03333
86536,47,3.88333,-51.8
86537,103,4.83333,-52.36667
86538,120,5.2,-52.4
86539,42,5.5,-54.03333
86540,120,-17.55,-149.6
86541,120,41.68333,44.95
86542,120,42.16667,42.41667
86543,120,47.41667,10.98333
86544,120,47.8,11.01667
86545,103,48.36667,11.8
86546,120,48.68333,9.23333
86547,120,49.21667,7.11667
86548,120,49.5,11.08333
86549,120,49.75,6.66667
86550,117,49.98333,7.95
86551,120,50.05,8.6
86552,120,50.43333,12.95
86553,120,50.98333,10.96667
86554,120,51.13333,13.75
86555,120,51.16667,14.95
86556,120,51.3,9.45
86557,120,51.4,6.96667
86558,120,51.43333,12.41667
86559,120,51.8,10.61667
86560,120,52.1,11.58333
86561,120,52.21667,14.11667
86562,120,52.38333,13.06667
86563,120,52.46667,9.68333
86564,120,52.46667,13.3
